,date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,lastModified,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hash
0,20200617,56,2150932,22786945.0,1745.0,28311.0,228094.0,5605.0,9665.0,2588.0,857.0,592191.0,2020-06-17T00:00:00Z,111477.0,228094.0,2020-06-17T00:00:00Z,24939622,24937877,24937877,782,1168,464685,23885,488570,1490f02ca32e495de23f42c687453dec327388eb
1,20200616,56,2127047,22322260.0,1604.0,28028.0,226926.0,5564.0,9590.0,2594.0,845.0,583503.0,2020-06-16T00:00:00Z,110695.0,226926.0,2020-06-16T00:00:00Z,24450911,24449307,24449307,713,1356,441217,23498,464715,b76c38c5b2569c09d84b6559091245c2d92f6e3a
2,20200615,56,2103549,21881043.0,1619.0,27115.0,225570.0,5695.0,9516.0,2636.0,835.0,576334.0,2020-06-15T00:00:00Z,109982.0,225570.0,2020-06-15T00:00:00Z,23986211,23984592,23984592,375,509,430967,18521,449488,1d6b3f792d9ad6ab553ce0b8f358d96d70333629
3,20200614,56,2085028,21450076.0,1672.0,27247.0,225061.0,5743.0,9466.0,2716.0,834.0,561816.0,2020-06-14T00:00:00Z,109607.0,225061.0,2020-06-14T00:00:00Z,23536776,23535104,23535104,358,641,463596,21486,485082,168319cea57492b92c3e16221430b3b93c7cb866
4,20200613,56,2063542,20986480.0,1698.0,27902.0,224420.0,5878.0,9430.0,2726.0,830.0,556606.0,2020-06-13T00:00:00Z,109249.0,224420.0,2020-06-13T00:00:00Z,23051720,23050022,23050022,695,1139,494566,25344,519910,4759fa308f4ca5a3140d150554b425fa6e2268a6
5,20200612,56,2038198,20491914.0,1783.0,28524.0,223281.0,6012.0,9373.0,2734.0,814.0,547386.0,2020-06-12T00:00:00Z,108554.0,223281.0,2020-06-12T00:00:00Z,22531895,22530112,22530112,751,1298,560100,23318,583418,fd83f7e9af4a8dd9f20c76cd2ffaa46b481acf5d
6,20200611,56,2014880,19931814.0,1816.0,29064.0,221983.0,6067.0,9295.0,2886.0,792.0,540292.0,2020-06-11T00:00:00Z,107803.0,221983.0,2020-06-11T00:00:00Z,21948510,21946694,21946694,936,1381,426097,22023,448120,403ff8b19d4d2723d8b9815ee8cbd6e6e3bcfc90
7,20200610,56,1992857,19505717.0,1737.0,30203.0,220602.0,6242.0,9225.0,3020.0,780.0,533504.0,2020-06-10T00:00:00Z,106867.0,220602.0,2020-06-10T00:00:00Z,21500311,21498574,21498574,878,1513,401955,20749,422704,75c9d1b2709f212f9d9a38181a878870f9d6599d
8,20200609,56,1972108,19103762.0,1661.0,30547.0,219089.0,6450.0,9141.0,3090.0,771.0,524855.0,2020-06-09T00:00:00Z,105989.0,219089.0,2020-06-09T00:00:00Z,21077531,21075870,21075870,902,1508,398716,17166,415882,2692bdc97d4ce65d152681200bc878da166d1c0a
9,20200608,56,1954942,18705046.0,1606.0,29969.0,217581.0,6394.0,9013.0,3240.0,762.0,518522.0,2020-06-08T00:00:00Z,105087.0,217581.0,2020-06-08T00:00:00Z,20661594,20659988,20659988,655,675,382742,17123,399865,ba3d25a158b27ef078eb3615305dffd5336503ce
10,20200607,56,1937819,18322304.0,1733.0,30299.0,216906.0,6493.0,8957.0,3298.0,753.0,506367.0,2020-06-07T00:00:00Z,104432.0,216906.0,2020-06-07T00:00:00Z,20261856,20260123,20260123,460,647,426169,19307,445476,f0a100b84f16b2278660af8d2581b770885cb533
11,20200606,56,1918512,17896135.0,1796.0,30909.0,216259.0,6754.0,8920.0,3476.0,750.0,500849.0,2020-06-06T00:00:00Z,103972.0,216259.0,2020-06-06T00:00:00Z,19816443,19814647,19814647,717,1007,455349,22355,477704,0aa4102763d76ea8e450152d03d09d29f21ffe2a
12,20200605,56,1896157,17440786.0,1749.0,31335.0,215252.0,6912.0,8863.0,3523.0,740.0,491706.0,2020-06-05T00:00:00Z,103255.0,215252.0,2020-06-05T00:00:00Z,19338692,19336943,19336943,848,1440,481203,22990,504193,78af7a6c99e54f7f0b4929c852f7df4d320d7b8b
13,20200604,56,1873167,16959583.0,3474.0,31659.0,213812.0,7054.0,8787.0,3665.0,723.0,485002.0,2020-06-04T00:00:00Z,102407.0,213812.0,2020-06-04T00:00:00Z,18836224,18832750,18832750,876,-2828,439938,20566,460504,895e74730deb17af8ea1a9e62bb9b19a8a90c7f8
14,20200603,56,1852601,16519645.0,3556.0,32081.0,216640.0,7224.0,8688.0,3749.0,717.0,479258.0,2020-06-03T00:00:00Z,101531.0,216640.0,2020-06-03T00:00:00Z,18375802,18372246,18372246,960,2258,447631,20189,467820,ca4fa054b18c9037e303ee4ab847e1889394e3dc
15,20200602,56,1832412,16072014.0,4054.0,32728.0,214382.0,7403.0,8566.0,3852.0,710.0,463868.0,2020-06-02T00:00:00Z,100571.0,214382.0,2020-06-02T00:00:00Z,17908480,17904426,17904426,969,1549,400513,19940,420453,60b87f52ff4ec7796fcf5c6ecb0227167997306b
16,20200601,56,1812472,15671501.0,3455.0,33160.0,212833.0,7588.0,8485.0,3950.0,704.0,458231.0,2020-06-01T00:00:00Z,99602.0,212833.0,2020-06-01T00:00:00Z,17487428,17483973,17483973,675,2750,393682,20251,413933,ec7db2eec9b5f82f660eb731e522babcdc75c186
17,20200531,56,1792221,15277819.0,3270.0,33840.0,210083.0,7623.0,8445.0,3669.0,704.0,444758.0,2020-05-31T00:00:00Z,98927.0,210083.0,2020-05-31T00:00:00Z,17073310,17070040,17070040,655,949,377751,21566,399317,b72d230d08d5d39170bbd02d7e3b1e09f905b579
18,20200530,56,1770655,14900068.0,1668.0,34650.0,209134.0,7956.0,8305.0,4004.0,698.0,416461.0,2020-05-30T00:00:00Z,98272.0,209134.0,2020-05-30T00:00:00Z,16672391,16670723,16670723,937,1440,404097,23712,427809,c6366878ec669a699cefe2145e19aeb23fa8b278
19,20200529,56,1746943,14495971.0,2978.0,35871.0,207694.0,8175.0,8235.0,4032.0,689.0,406446.0,2020-05-29T00:00:00Z,97335.0,207694.0,2020-05-29T00:00:00Z,16245892,16242914,16242914,1178,1720,468999,23365,492364,2e311cd1be08b97aceeffbe018313448c224b315
20,20200528,56,1723578,14026972.0,1906.0,36967.0,205974.0,8389.0,8109.0,4080.0,676.0,399991.0,2020-05-28T00:00:00Z,96157.0,205974.0,2020-05-28T00:00:00Z,15752456,15750550,15750550,1272,2396,397332,22467,419799,e8f8d7031d5c410b972abcef1ef235d72435c677
21,20200527,56,1701111,13629640.0,3132.0,37251.0,203578.0,8547.0,8015.0,4222.0,666.0,391508.0,2020-05-27T00:00:00Z,94885.0,203578.0,2020-05-27T00:00:00Z,15333883,15330751,15330751,1271,1706,288310,19300,307610,bfa4774992cfbe0c527c14109f92f1673a5fd092
22,20200526,56,1681811,13341330.0,1549.0,36609.0,201872.0,8585.0,7899.0,4215.0,650.0,384902.0,2020-05-26T00:00:00Z,93614.0,201872.0,2020-05-26T00:00:00Z,15024690,15023141,15023141,635,17302,291081,16571,307652,7b731f399fa498e6b7c0f7857974bd2145ece40f
23,20200525,56,1665240,13050249.0,3368.0,36668.0,184570.0,8472.0,7847.0,4237.0,642.0,379157.0,2020-05-25T00:00:00Z,92979.0,184570.0,2020-05-25T00:00:00Z,14718857,14715489,14715489,562,967,402999,18669,421668,947be1e3ad3f2986ae308a0297f6a2267b2ab86b
24,20200524,56,1646571,12647250.0,3860.0,36706.0,183603.0,8487.0,7801.0,4383.0,639.0,366736.0,2020-05-24T00:00:00Z,92417.0,183603.0,2020-05-24T00:00:00Z,14297681,14293821,14293821,678,894,363042,20101,383143,8dc885d1ba7cd7d759bd109b802154c0856efeb4
25,20200523,56,1626470,12284208.0,4084.0,37873.0,182709.0,8812.0,7770.0,4620.0,638.0,361239.0,2020-05-23T00:00:00Z,91739.0,182709.0,2020-05-23T00:00:00Z,13914762,13910678,13910678,1048,1388,377107,21653,398760,460ef1e86ae4a10f5b8bb60dfb09c90198c97bdb
26,20200522,56,1604817,11907101.0,3709.0,38802.0,181321.0,9048.0,7689.0,4716.0,633.0,350135.0,2020-05-22T00:00:00Z,90691.0,181321.0,2020-05-22T00:00:00Z,13515627,13511918,13511918,1287,4037,380649,24452,405101,6a3e56bebcfcebf55bac8cd14fed0abdf380f11e
27,20200521,56,1580365,11526452.0,3641.0,39915.0,177284.0,9090.0,7412.0,4868.0,616.0,298418.0,2020-05-21T00:00:00Z,89404.0,177284.0,2020-05-21T00:00:00Z,13110458,13106817,13106817,1403,4619,396647,26490,423137,c72c6b4a2342cba31d48925855f1d0ed57dfa435
28,20200520,56,1553875,11129805.0,2973.0,40884.0,172665.0,9829.0,7319.0,4911.0,613.0,294312.0,2020-05-20T00:00:00Z,88001.0,172665.0,2020-05-20T00:00:00Z,12686653,12683680,12683680,1387,2006,388829,21469,410298,43ca67df6f0cfa037b8bdd5c8711d2c712c0d631
29,20200519,56,1532406,10740976.0,2944.0,41091.0,170659.0,9829.0,7217.0,5032.0,606.0,289484.0,2020-05-19T00:00:00Z,86614.0,170659.0,2020-05-19T00:00:00Z,12276326,12273382,12273382,1363,1665,388919,21773,410692,cf85275c428f0bd37b9acb3969114dcb629ce6b4
30,20200518,56,1510633,10352057.0,3596.0,40933.0,168994.0,10015.0,7064.0,5257.0,602.0,283178.0,2020-05-18T00:00:00Z,85251.0,168994.0,2020-05-18T00:00:00Z,11866286,11862690,11862690,794,1039,329011,19873,348884,bcfb35266a566b9e962578dd4cb3cab337f046a9
31,20200517,56,1490760,10023046.0,3449.0,41108.0,167955.0,10164.0,7003.0,5467.0,593.0,272265.0,2020-05-17T00:00:00Z,84457.0,167955.0,2020-05-17T00:00:00Z,11517255,11513806,11513806,882,1185,353237,20256,373493,d91cd7310bffaeab07f6b673f2575d46748ca01c
32,20200516,56,1470504,9669809.0,3788.0,42896.0,166770.0,10509.0,6945.0,5529.0,592.0,268376.0,2020-05-16T00:00:00Z,83575.0,166770.0,2020-05-16T00:00:00Z,11144101,11140313,11140313,1266,1873,339158,24627,363785,1d4ac1023d6bb33458bb4853ac22f68c591a1e02
33,20200515,56,1445877,9330651.0,2457.0,42854.0,164897.0,10704.0,6890.0,5746.0,589.0,250747.0,2020-05-15T00:00:00Z,82309.0,164897.0,2020-05-15T00:00:00Z,10778985,10776528,10776528,1498,1305,336204,24599,360803,88f4874b5f2d7d2d3762b469c19cef733d182b0c
34,20200514,56,1421278,8994447.0,2673.0,44075.0,163592.0,10888.0,6795.0,5940.0,582.0,246414.0,2020-05-14T00:00:00Z,80811.0,163592.0,2020-05-14T00:00:00Z,10418398,10415725,10415725,1878,3200,340050,26601,366651,0f2dab3a236506615d9a3fd0605fd2872a00a567
35,20200513,56,1394677,8654397.0,1983.0,44514.0,160392.0,10978.0,6713.0,6156.0,572.0,243430.0,2020-05-13T00:00:00Z,78933.0,160392.0,2020-05-13T00:00:00Z,10051057,10049074,10049074,1691,1796,300290,21182,321472,cb95a7846dfe09e86495d56bc410e3aacfc479e1
36,20200512,56,1373495,8354107.0,1803.0,45199.0,158596.0,11241.0,5595.0,6352.0,559.0,238857.0,2020-05-12T00:00:00Z,77242.0,158596.0,2020-05-12T00:00:00Z,9729405,9727602,9727602,1475,1564,287545,22587,310132,7d267739e5f8254776ca326030dc9173debb9331
37,20200511,56,1350908,8066562.0,1989.0,44191.0,157032.0,11147.0,6488.0,6350.0,551.0,232142.0,2020-05-11T00:00:00Z,75767.0,157032.0,2020-05-11T00:00:00Z,9419459,9417470,9417470,872,1206,365804,18199,384003,53e545a348e30abf6df46d2348def5b27a819cef
