,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200617,AK,696,77013.0,,23.0,,,,0.0,,438.0,A,6/17/2020 00:00,2020-06-17T00:00:00Z,06/16 20:00,12,,2020-06-17T00:00:00Z,77709.0,,,,2,20,1474,77709,77709,1494,77709,0,0,cb5c6333f1f29241387021d8d30f0c2efad0444c,0,0,0,0,0,
1,20200617,AL,27312,283411.0,,677.0,2352.0,,687.0,,401.0,15974.0,B,6/17/2020 11:00,2020-06-17T11:00:00Z,06/17 07:00,790,2352.0,2020-06-17T11:00:00Z,,,,26914.0,1,400,4899,310723,310723,5299,310723,5,37,bd6edf2bb5b10f200f5e0636f87da980ae88a0cc,0,0,0,0,0,
2,20200617,AR,13606,207093.0,,217.0,1052.0,,,53.0,168.0,8996.0,A,6/17/2020 15:10,2020-06-17T15:10:00Z,06/17 11:10,197,1052.0,2020-06-17T15:10:00Z,,,,13606.0,5,415,14718,220699,220699,15133,220699,15,26,495c9f3d841d3604de7679918df335e1e00594cf,0,0,0,0,0,
3,20200617,AS,0,174.0,,,,,,,,,C,6/1/2020 00:00,2020-06-01T00:00:00Z,05/31 20:00,0,,2020-06-01T00:00:00Z,,,,,60,0,0,174,174,0,174,0,0,ae7016ca13fb44fae5b144ee08a98c1775de6af9,0,0,0,0,0,
4,20200617,AZ,40924,325269.0,,1582.0,3861.0,531.0,,346.0,,6715.0,A+,6/17/2020 00:00,2020-06-17T00:00:00Z,06/16 20:00,1239,3861.0,2020-06-17T00:00:00Z,365846.0,,,40577.0,4,1827,10032,366193,366193,11859,366193,20,53,2d9a7c73f8c0689a91a349f295295a3fa887e169,0,0,0,0,0,
5,20200617,CA,157015,2840973.0,,4522.0,,1318.0,,,,,B,6/17/2020 00:00,2020-06-17T00:00:00Z,06/16 20:00,5208,,2020-06-17T00:00:00Z,2997988.0,,,157015.0,6,3455,56778,2997988,2997988,60233,2997988,87,0,d823ef830bd66b6110e155f8c407a0609fda6e1a,0,0,0,0,0,
6,20200617,CO,29442,227225.0,,290.0,5272.0,,,,,4231.0,A,6/16/2020 00:00,2020-06-16T00:00:00Z,06/15 20:00,1617,5272.0,2020-06-16T00:00:00Z,,,,26795.0,8,143,3368,256667,256667,3511,256667,12,3,00942769b590e7bbf74ca336fc0f700c0eb1e8a0,0,0,0,0,0,
7,20200617,CT,45429,322429.0,,186.0,9912.0,,,,,7611.0,B,6/17/2020 16:00,2020-06-17T16:00:00Z,06/17 12:00,4219,9912.0,2020-06-17T16:00:00Z,365916.0,,,43487.0,9,80,6358,367858,367858,6438,367858,9,0,21462b5db8496db2f2d1afd1f7bcb434d57145b8,0,0,0,0,0,
8,20200617,DC,9847,60239.0,,197.0,,73.0,,47.0,,1155.0,A+,6/16/2020 00:00,2020-06-16T00:00:00Z,06/15 20:00,523,,2020-06-16T00:00:00Z,,,,9847.0,11,29,2931,70086,70086,2960,70086,3,0,4e942e97f2d1a6a22b725300cff5c60d6c6b7b3d,0,0,0,0,0,
9,20200617,DE,10444,76143.0,,83.0,,,,,,6305.0,A,6/16/2020 18:00,2020-06-16T18:00:00Z,06/16 14:00,426,,2020-06-16T18:00:00Z,,,,9470.0,10,41,472,86587,86587,513,86587,2,0,7fc6233469a517e7905459d596e2fba1b03015b5,0,0,0,0,0,
10,20200617,FL,82719,1403040.0,1240.0,,12673.0,,,,,,A,6/17/2020 10:00,2020-06-17T10:00:00Z,06/17 06:00,3110,12673.0,2020-06-17T10:00:00Z,1752714.0,110650.0,1638911.0,82719.0,12,2610,22840,1486999,1485759,25450,1485759,25,184,d7ebc8abd20e6a260b2b617b5e3085d2fd16bb1c,0,0,0,0,0,
11,20200617,GA,60030,590437.0,,881.0,9543.0,,2084.0,,,,A,6/15/2020 14:50,2020-06-15T14:50:00Z,06/15 10:50,2575,9543.0,2020-06-15T14:50:00Z,644723.0,54286.0,590437.0,60030.0,13,952,14537,650467,650467,15489,650467,46,89,3d94b8eb259f1c0563cef0caf731778f47d12ef8,0,0,0,0,0,
12,20200617,GU,188,9010.0,,0.0,,0.0,,0.0,,170.0,A,6/17/2020 06:45,2020-06-17T06:45:00Z,06/17 02:45,5,,2020-06-17T06:45:00Z,9096.0,181.0,8914.0,180.0,66,2,164,9198,9198,166,9198,0,0,974099dcc17afc38adb301880853ee59ea102cfc,0,0,0,0,0,
13,20200617,HI,740,62503.0,,,92.0,,,,,637.0,D,6/16/2020 18:00,2020-06-16T18:00:00Z,06/16 14:00,17,92.0,2020-06-16T18:00:00Z,73078.0,740.0,72338.0,740.0,15,4,1211,63243,63243,1215,63243,0,1,f92c587dad8edfa82fa8d360f826aeb34aee3ae4,0,0,0,0,0,
14,20200617,IA,24461,210670.0,,188.0,,64.0,,47.0,,15289.0,A+,6/17/2020 00:00,2020-06-17T00:00:00Z,06/16 20:00,673,,2020-06-17T00:00:00Z,,,,24461.0,19,282,4211,235131,235131,4493,235131,4,0,97132e84413ffd2470775bd7a6b72d6d08bff00a,0,0,0,0,0,
15,20200617,ID,3540,63244.0,,,275.0,,101.0,,,2921.0,A,6/16/2020 19:00,2020-06-16T19:00:00Z,06/16 15:00,88,275.0,2020-06-16T19:00:00Z,66441.0,,,3197.0,16,78,1059,66784,66784,1137,66784,0,5,bbf4b80de9e1eb87d560a283ef34cb7b17b2dd4d,0,0,0,0,0,
16,20200617,IL,135046,1124143.0,,1878.0,,563.0,,331.0,,,A,6/17/2020 00:00,2020-06-17T00:00:00Z,06/16 20:00,6666,,2020-06-17T00:00:00Z,1258328.0,,,134185.0,17,546,29441,1259189,1259189,29987,1259189,87,0,1d16742c79a537bec9a12fc4af01d90d917a8a8e,0,0,0,0,0,
17,20200617,IN,41013,330169.0,,789.0,6526.0,238.0,1384.0,105.0,,29671.0,A+,6/16/2020 23:59,2020-06-16T23:59:00Z,06/16 19:59,2475,6526.0,2020-06-16T23:59:00Z,,,,41013.0,18,227,7210,371182,371182,7437,371182,28,45,affc5a41134506810c5166e84722dd7ac50b4e85,0,0,0,0,0,
18,20200617,KS,11681,130443.0,,,1011.0,,333.0,,146.0,696.0,A,6/17/2020 10:00,2020-06-17T10:00:00Z,06/17 06:00,247,1011.0,2020-06-17T10:00:00Z,,,,11681.0,20,262,4900,142124,142124,5162,142124,2,23,98f7486a8fa948cfd3d96ef719c0fed0606caa4f,0,0,0,0,0,
19,20200617,KY,12995,286874.0,,416.0,2455.0,61.0,971.0,,,3444.0,B,6/17/2020 00:00,2020-06-17T00:00:00Z,06/16 20:00,518,2455.0,2020-06-17T00:00:00Z,,,,12646.0,21,166,3670,299869,299869,3836,299869,6,19,9005ad14ebe243f8316d7f117cb9281f58048580,0,0,0,0,0,
20,20200617,LA,48634,496587.0,,585.0,,,,83.0,,37017.0,B,6/17/2020 13:00,2020-06-17T13:00:00Z,06/17 09:00,3062,,2020-06-17T13:00:00Z,,,,48634.0,22,928,11576,545221,545221,12504,545221,20,0,d746c5b83ad8bf787db4fa64fa7969f90c624975,0,0,0,0,0,
21,20200617,MA,106151,625895.0,,998.0,10925.0,227.0,,135.0,,,A+,6/17/2020 10:00,2020-06-17T10:00:00Z,06/17 06:00,7734,10925.0,2020-06-17T10:00:00Z,914751.0,,,101654.0,25,266,8133,732046,732046,8399,732046,69,58,d6b1e23207e0bd7bcfab70f340f954f523ad557c,0,0,0,0,0,
22,20200617,MD,62969,378374.0,,702.0,10309.0,283.0,,,,4596.0,A,6/17/2020 10:00,2020-06-17T10:00:00Z,06/17 06:00,2996,10309.0,2020-06-17T10:00:00Z,526882.0,,,62969.0,24,560,11558,441343,441343,12118,441343,14,47,b55acf1746896aa89dacae954606f162b7a3285c,0,0,0,0,0,
